0,suspicious_char_path,len_path,top_tld,suspicious_word_domain,num_special_char_domain,https_protocol,num_slash,num_dots,url_length,is_threat_threat
,0.0,25.0,0.0,0.0,0.0,0.0,1.0,2.0,25.0,False
,0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,True
,0.0,54.0,0.0,0.0,0.0,0.0,2.0,2.0,54.0,False
,0.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,True
,0.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,True
,0.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,True
,0.0,10.0,0.0,0.0,0.0,0.0,3.0,4.0,132.0,True
,0.0,56.0,0.0,0.0,0.0,0.0,4.0,1.0,56.0,False
,0.0,33.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,False
,0.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,25.0,False
,0.0,80.0,0.0,0.0,0.0,0.0,2.0,2.0,80.0,True
,0.0,35.0,1.0,0.0,0.0,0.0,5.0,2.0,66.0,True
,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,True
,0.0,23.0,0.0,0.0,0.0,0.0,2.0,1.0,23.0,False
,0.0,36.0,0.0,0.0,0.0,0.0,3.0,2.0,45.0,False
,0.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,False
,0.0,78.0,1.0,0.0,0.0,0.0,6.0,1.0,93.0,False
,0.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,False
,1.0,120.0,0.0,0.0,0.0,0.0,3.0,11.0,120.0,False
,0.0,35.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,False
,0.0,35.0,0.0,0.0,0.0,0.0,3.0,3.0,35.0,False
,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,False
,0.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,True
,0.0,29.0,0.0,0.0,0.0,0.0,3.0,1.0,29.0,False
,0.0,97.0,1.0,0.0,0.0,0.0,7.0,1.0,121.0,False
,0.0,15.0,0.0,0.0,0.0,0.0,8.0,5.0,84.0,False
,0.0,47.0,0.0,0.0,0.0,0.0,4.0,2.0,68.0,False
,0.0,50.0,0.0,0.0,0.0,0.0,3.0,1.0,50.0,False
,1.0,46.0,0.0,0.0,0.0,0.0,3.0,6.0,54.0,False
,0.0,67.0,1.0,0.0,0.0,0.0,3.0,1.0,88.0,False
,0.0,46.0,0.0,0.0,0.0,0.0,2.0,2.0,46.0,False
,0.0,40.0,0.0,0.0,0.0,0.0,5.0,1.0,40.0,True
,0.0,64.0,0.0,0.0,0.0,0.0,6.0,2.0,64.0,False
,1.0,70.0,1.0,0.0,0.0,0.0,9.0,3.0,93.0,True
,0.0,45.0,0.0,0.0,0.0,0.0,2.0,2.0,45.0,False
,0.0,66.0,0.0,0.0,0.0,0.0,2.0,2.0,66.0,False
,0.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,True
,1.0,29.0,0.0,0.0,0.0,0.0,3.0,4.0,496.0,False
,0.0,53.0,0.0,0.0,0.0,0.0,4.0,3.0,53.0,False
,0.0,39.0,1.0,0.0,0.0,0.0,6.0,2.0,66.0,True
,0.0,32.0,0.0,0.0,0.0,0.0,2.0,3.0,32.0,True
,0.0,30.0,0.0,0.0,0.0,0.0,3.0,2.0,30.0,True
,0.0,61.0,0.0,0.0,0.0,0.0,5.0,3.0,61.0,True
,0.0,35.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,True
,0.0,62.0,0.0,0.0,0.0,0.0,4.0,2.0,62.0,False
,0.0,65.0,0.0,0.0,0.0,0.0,2.0,8.0,284.0,False
,0.0,21.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,False
,0.0,27.0,0.0,0.0,0.0,0.0,1.0,4.0,27.0,True
,0.0,38.0,0.0,0.0,0.0,0.0,4.0,3.0,38.0,False
,0.0,46.0,0.0,0.0,0.0,0.0,3.0,2.0,46.0,False
,0.0,37.0,0.0,0.0,0.0,0.0,1.0,2.0,67.0,False
,0.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,False
,0.0,33.0,0.0,0.0,0.0,0.0,2.0,1.0,33.0,False
,0.0,39.0,0.0,0.0,0.0,0.0,3.0,3.0,39.0,False
,1.0,60.0,0.0,0.0,0.0,0.0,5.0,7.0,95.0,False
,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,False
,0.0,36.0,0.0,0.0,0.0,0.0,2.0,1.0,36.0,True
,0.0,48.0,0.0,0.0,0.0,0.0,4.0,1.0,48.0,True
,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,False
,0.0,57.0,0.0,0.0,0.0,0.0,5.0,1.0,57.0,False
,0.0,44.0,0.0,0.0,0.0,0.0,4.0,2.0,44.0,False
,1.0,60.0,0.0,0.0,0.0,0.0,7.0,2.0,84.0,True
,0.0,46.0,0.0,0.0,0.0,0.0,2.0,2.0,46.0,True
,0.0,26.0,0.0,0.0,0.0,0.0,2.0,2.0,26.0,False
,0.0,29.0,0.0,0.0,0.0,0.0,1.0,2.0,56.0,True
,0.0,72.0,0.0,0.0,0.0,0.0,5.0,1.0,72.0,False
,0.0,83.0,1.0,0.0,0.0,0.0,4.0,1.0,99.0,True
,0.0,32.0,0.0,0.0,0.0,0.0,1.0,3.0,32.0,True
,0.0,29.0,0.0,0.0,0.0,0.0,2.0,2.0,45.0,False
,0.0,97.0,0.0,0.0,0.0,0.0,5.0,1.0,97.0,False
,0.0,28.0,0.0,0.0,0.0,0.0,1.0,2.0,28.0,True
,0.0,20.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,False
,0.0,52.0,0.0,0.0,0.0,0.0,1.0,2.0,52.0,True
,0.0,136.0,1.0,0.0,0.0,1.0,7.0,3.0,179.0,True
,0.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,False
,0.0,78.0,1.0,0.0,0.0,0.0,4.0,3.0,111.0,True
,0.0,31.0,0.0,0.0,0.0,0.0,2.0,1.0,31.0,False
,0.0,85.0,0.0,0.0,0.0,0.0,3.0,2.0,85.0,False
,0.0,39.0,0.0,0.0,0.0,0.0,2.0,2.0,39.0,True
,0.0,21.0,1.0,0.0,0.0,0.0,4.0,3.0,51.0,True
,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,True
,0.0,24.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,False
,0.0,32.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,False
,0.0,47.0,1.0,0.0,0.0,0.0,4.0,1.0,63.0,True
,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,False
,0.0,38.0,0.0,0.0,0.0,0.0,2.0,2.0,38.0,False
,0.0,28.0,0.0,0.0,0.0,0.0,1.0,2.0,28.0,False
,0.0,28.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,True
,0.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,99.0,True
,0.0,10.0,0.0,0.0,0.0,0.0,3.0,4.0,120.0,True
,0.0,75.0,0.0,0.0,0.0,0.0,2.0,2.0,75.0,True
,0.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0,False
